filename,label
Bad_Eggs/Aug_Bad_Egg (438).jpg,0
Bad_Eggs/Aug_Bad_Egg (1660).jpg,0
Bad_Eggs/Aug_Bad_Egg (592).jpg,0
Bad_Eggs/Aug_Bad_Egg (33).jpg,0
Bad_Eggs/Aug_Bad_Egg (1230).jpg,0
Bad_Eggs/Aug_Bad_Egg (984).jpg,0
Bad_Eggs/Aug_Bad_Egg (2109).jpg,0
Bad_Eggs/Aug_Bad_Egg (2559).jpg,0
Bad_Eggs/Aug_Bad_Egg (1725).jpg,0
Bad_Eggs/Aug_Bad_Egg (1375).jpg,0
Bad_Eggs/Aug_Bad_Egg (2670).jpg,0
Bad_Eggs/Aug_Bad_Egg (2220).jpg,0
Bad_Eggs/Aug_Bad_Egg (204).jpg,0
Bad_Eggs/Aug_Bad_Egg (654).jpg,0
Bad_Eggs/Aug_Bad_Egg (341).jpg,0
Bad_Eggs/Aug_Bad_Egg (1119).jpg,0
Bad_Eggs/Aug_Bad_Egg (711).jpg,0
Bad_Eggs/Aug_Bad_Egg (1549).jpg,0
Bad_Eggs/Aug_Bad_Egg (2735).jpg,0
Bad_Eggs/Aug_Bad_Egg (2365).jpg,0
Bad_Eggs/Aug_Bad_Egg (896).jpg,0
Bad_Eggs/Aug_Bad_Egg (64).jpg,0
Bad_Eggs/Aug_Bad_Egg (1267).jpg,0
Bad_Eggs/Aug_Bad_Egg (195).jpg,0
Bad_Eggs/Aug_Bad_Egg (1637).jpg,0
Bad_Eggs/Aug_Bad_Egg (2918).jpg,0
Bad_Eggs/Aug_Bad_Egg (480).jpg,0
Bad_Eggs/Aug_Bad_Egg (1322).jpg,0
Bad_Eggs/Aug_Bad_Egg (1288).jpg,0
Bad_Eggs/Aug_Bad_Egg (1772).jpg,0
Bad_Eggs/Aug_Bad_Egg (879).jpg,0
Bad_Eggs/Aug_Bad_Egg (603).jpg,0
Bad_Eggs/Aug_Bad_Egg (253).jpg,0
Bad_Eggs/Aug_Bad_Egg (2277).jpg,0
Bad_Eggs/Aug_Bad_Egg (1908).jpg,0
Bad_Eggs/Aug_Bad_Egg (2627).jpg,0
Bad_Eggs/Aug_Bad_Egg (2332).jpg,0
Bad_Eggs/Aug_Bad_Egg (2762).jpg,0
Bad_Eggs/Aug_Bad_Egg (2298).jpg,0
Bad_Eggs/Aug_Bad_Egg (746).jpg,0
Bad_Eggs/Aug_Bad_Egg (316).jpg,0
Bad_Eggs/Aug_Bad_Egg (479).jpg,0
Bad_Eggs/Aug_Bad_Egg (1621).jpg,0
Bad_Eggs/Aug_Bad_Egg (183).jpg,0
Bad_Eggs/Aug_Bad_Egg (1271).jpg,0
Bad_Eggs/Aug_Bad_Egg (72).jpg,0
Bad_Eggs/Aug_Bad_Egg (880).jpg,0
Bad_Eggs/Aug_Bad_Egg (2148).jpg,0
Bad_Eggs/Aug_Bad_Egg (2518).jpg,0
Bad_Eggs/Aug_Bad_Egg (1764).jpg,0
Bad_Eggs/Aug_Bad_Egg (1334).jpg,0
Bad_Eggs/Aug_Bad_Egg (496).jpg,0
Bad_Eggs/Aug_Bad_Egg (2631).jpg,0
Bad_Eggs/Aug_Bad_Egg (2261).jpg,0
Bad_Eggs/Aug_Bad_Egg (245).jpg,0
Bad_Eggs/Aug_Bad_Egg (615).jpg,0
Bad_Eggs/Aug_Bad_Egg (300).jpg,0
Bad_Eggs/Aug_Bad_Egg (1158).jpg,0
Bad_Eggs/Aug_Bad_Egg (750).jpg,0
Bad_Eggs/Aug_Bad_Egg (1508).jpg,0
Bad_Eggs/Aug_Bad_Egg (2774).jpg,0
Bad_Eggs/Aug_Bad_Egg (2324).jpg,0
Bad_Eggs/Aug_Bad_Egg (1226).jpg,0
Bad_Eggs/Aug_Bad_Egg (25).jpg,0
Bad_Eggs/Aug_Bad_Egg (584).jpg,0
Bad_Eggs/Aug_Bad_Egg (2959).jpg,0
Bad_Eggs/Aug_Bad_Egg (1676).jpg,0
Bad_Eggs/Aug_Bad_Egg (1699).jpg,0
Bad_Eggs/Aug_Bad_Egg (1363).jpg,0
Bad_Eggs/Aug_Bad_Egg (1733).jpg,0
Bad_Eggs/Aug_Bad_Egg (838).jpg,0
Bad_Eggs/Aug_Bad_Egg (992).jpg,0
Bad_Eggs/Aug_Bad_Egg (642).jpg,0
Bad_Eggs/Aug_Bad_Egg (212).jpg,0
Bad_Eggs/Aug_Bad_Egg (2236).jpg,0
Bad_Eggs/Aug_Bad_Egg (2666).jpg,0
Bad_Eggs/Aug_Bad_Egg (1949).jpg,0
Bad_Eggs/Aug_Bad_Egg (2373).jpg,0
Bad_Eggs/Aug_Bad_Egg (2689).jpg,0
Bad_Eggs/Aug_Bad_Egg (2723).jpg,0
Bad_Eggs/Aug_Bad_Egg (707).jpg,0
Bad_Eggs/Aug_Bad_Egg (357).jpg,0
Bad_Eggs/Aug_Bad_Egg (140).jpg,0
Bad_Eggs/Aug_Bad_Egg (1318).jpg,0
Bad_Eggs/Aug_Bad_Egg (510).jpg,0
Bad_Eggs/Aug_Bad_Egg (2867).jpg,0
Bad_Eggs/Aug_Bad_Egg (1748).jpg,0
Bad_Eggs/Aug_Bad_Egg (843).jpg,0
Bad_Eggs/Aug_Bad_Egg (2534).jpg,0
Bad_Eggs/Aug_Bad_Egg (2164).jpg,0
Bad_Eggs/Aug_Bad_Egg (2471).jpg,0
Bad_Eggs/Aug_Bad_Egg (906).jpg,0
Bad_Eggs/Aug_Bad_Egg (2021).jpg,0
Bad_Eggs/Aug_Bad_Egg (2888).jpg,0
Bad_Eggs/Aug_Bad_Egg (2922).jpg,0
Bad_Eggs/Aug_Bad_Egg (455).jpg,0
Bad_Eggs/Aug_Bad_Egg (2308).jpg,0
Bad_Eggs/Aug_Bad_Egg (2758).jpg,0
Bad_Eggs/Aug_Bad_Egg (1877).jpg,0
Bad_Eggs/Aug_Bad_Egg (1524).jpg,0
Bad_Eggs/Aug_Bad_Egg (286).jpg,0
Bad_Eggs/Aug_Bad_Egg (1174).jpg,0
Bad_Eggs/Aug_Bad_Egg (639).jpg,0
Bad_Eggs/Aug_Bad_Egg (1461).jpg,0
Bad_Eggs/Aug_Bad_Egg (269).jpg,0
Bad_Eggs/Aug_Bad_Egg (1031).jpg,0
Bad_Eggs/Aug_Bad_Egg (793).jpg,0
Bad_Eggs/Aug_Bad_Egg (1898).jpg,0
Bad_Eggs/Aug_Bad_Egg (1932).jpg,0
Bad_Eggs/Aug_Bad_Egg (2133).jpg,0
Bad_Eggs/Aug_Bad_Egg (2563).jpg,0
Bad_Eggs/Aug_Bad_Egg (2099).jpg,0
Bad_Eggs/Aug_Bad_Egg (814).jpg,0
Bad_Eggs/Aug_Bad_Egg (2830).jpg,0
Bad_Eggs/Aug_Bad_Egg (547).jpg,0
Bad_Eggs/Aug_Bad_Egg (117).jpg,0
Bad_Eggs/Aug_Bad_Egg (402).jpg,0
Bad_Eggs/Aug_Bad_Egg (2975).jpg,0
Bad_Eggs/Aug_Bad_Egg (2076).jpg,0
